def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	1	<unknown1500>	189.052000			189.0375	189.0665																				
1	1	C8H13O5+	189.075750		C8H13O5	189.0613	189.0903		0.00																		
1	1	<unknown1497>	189.082287			189.0678	189.0968																				
1	1	<unknown1496>	189.110921			189.0964	189.1254																				
1	1	(NH3)(NH4)C8H10O3+	189.123369		C8H17N2O3	189.1088	189.1380		0.00										1								
1	1	(NH4)C6H4O6	190.035162		C6H8NO6	190.0207	190.0497		0.00										0								
1	1	C11H10O3	190.062994		C11H10O3	190.0486	190.0775		0.00										0								
1	1	(NH4)C7H8O5	190.071547		C7H12NO5	190.0570	190.0859		0.00										0								
1	1	(NH3)(NH4)C7H7O4	190.095357		C7H14N2O4	190.0809	190.1099		0.00										0								
1	1	(NH4)C8H12O4	190.107933		C8H16NO4	190.0934	190.1223		0.00										0								
1	1	(NH4)C9H16O3	190.144318		C9H20NO3	190.1297	190.1586		0.00										0								
1	1	(NH4)C10H20O2	190.180704		C10H24NO2	190.1662	190.1952		0.00										0								
1	1	C7H11O6+	191.055014		C7H11O6	191.0403	191.0697		0.00										1								
1	1	(NH3)(NH4)C6H4O5	191.066796		C6H11N2O5	191.0522	191.0813		0.00										0								
1	1	C8H15O5+	191.091400		C8H15O5	191.0767	191.1061		0.00										1								
1	1	(NH3)(NH4)C7H8O4+	191.102633		C7H15N2O4	191.0879	191.1173		0.00										1								
1	1	(NH4)C8H13O4	191.115758		C8H17NO4	191.1012	191.1303		0.00										0								
1	1	(NH4)C9H17O3	191.152143		C9H21NO3	191.1376	191.1667		0.00										0								
1	1	(NH4)C6H6O6	192.050812		C6H10NO6	192.0362	192.0654		0.00										0								
1	1	(NH4)C7H10O5	192.087198		C7H14NO5	192.0726	192.1018		0.00										0								
1	1	(NH4)C8H14O4	192.123583		C8H18NO4	192.1090	192.1382		0.00										0								
1	0	(NH4)C9H18O3	192.159969		C9H22NO3	192.1454	192.1746		0.00										0								
1	1	C6H9O7+	193.034279		C6H9O7	193.0195	193.0490		0.00																		
1	1	<unknown1501>	193.048922			193.0342	193.0636																				
1	1	C7H13O6+	193.070665		C7H13O6	193.0558	193.0856		0.00										1								
1	0	(NH3)(NH4)C6H6O5+	193.081898		C6H13N2O5	193.0672	193.0966		0.00																		
1	1	C11H13O3+	193.085921		C11H13O3	193.0710	193.1008		0.00										1								
1	1	(NH3)(NH4)C7H10O4+	193.118283		C7H17N2O4	193.1036	193.1330		0.00																		
1	1	<unknown1504>	194.025000			194.0102	194.0398																				
1	1	<unknown1503>	194.046159			194.0314	194.0610																				
1	1	(NH4)C6H8O6+	194.065914		C6H12NO6	194.0511	194.0807		0.00																		
1	1	(NH4)C7H12O5	194.102848		C7H16NO5	194.0881	194.1176		0.00										0								
1	1	(NH4)C8H16O4	194.139233		C8H20NO4	194.1244	194.1540		0.00										0								
1	0	(NH4)C9H20O3	194.175619		C9H24NO3	194.1609	194.1903		0.00										0								
1	1	C6H11O7+	195.049929		C6H11O7	195.0351	195.0649		0.00																		
1	1	(NH3)(NH4)C5H4O6	195.061711		C5H11N2O6	195.0469	195.0765		0.00										0								
1	1	(NH3)(NH4)C6H8O5+	195.097548		C6H15N2O5	195.0827	195.1125		0.00																		
1	1	(NH3)(NH4)C7H12O4+	195.133933		C7H19N2O4	195.1190	195.1488		0.00																		
1	1	(NH4)C5H6O7	196.045727		C5H10NO7	196.0308	196.0606		0.00										0								
1	1	(NH4)C9H6O4	196.060983		C9H10NO4	196.0461	196.0758		0.00										0								
1	1	(NH4)C6H10O6	196.082112		C6H14NO6	196.0673	196.0970		0.00										0								
1	1	(NH4)C10H10O3	196.097368		C10H14NO3	196.0824	196.1122		0.00										0								
1	0	(NH4)C7H14O5	196.118498		C7H18NO5	196.1036	196.1333		0.00										0								
1	0	<unknown1505>	196.126101			196.1111	196.1410																				
